frame,player_id,cx,cy,vx,vy,speed,acceleration
18.0,0,93.0,524.0,-48.5,9.833333333333334,49.48681081302819,0.0
24.0,0,220.0,546.0,21.166666666666668,3.6666666666666665,21.481904529678516,-4.667484380558281
30.0,0,675.0,403.0,75.83333333333333,-23.833333333333332,79.49039075399126,9.668081037385457
36.0,0,998.0,503.0,53.833333333333336,16.666666666666668,56.35428604423585,-3.8560174516259047
42.0,0,1089.0,528.0,15.166666666666666,4.166666666666667,15.728600983205368,-6.770947510171748
54.0,0,84.0,530.0,-83.75,0.16666666666666666,83.75016583731508,5.668463737842476
60.0,0,581.0,664.0,82.83333333333333,22.333333333333332,85.79125182026947,0.3401809971590642
66.0,0,679.0,401.0,16.333333333333332,-43.833333333333336,46.77754684556351,-6.502284162450992
72.0,0,822.0,667.0,23.833333333333332,44.333333333333336,50.33360927076681,0.5926770708672157
78.0,0,905.0,504.0,13.833333333333334,-27.166666666666668,30.48588015604747,-3.3079548524532227
84.0,0,1181.0,524.0,46.0,3.3333333333333335,46.12061481714127,2.6057891101823003
96.0,0,84.0,533.0,-91.41666666666667,0.75,91.4197431873687,3.7749273641856185
102.0,0,451.0,491.0,61.166666666666664,-7.0,61.56590867607747,-4.975639085215204
108.0,0,350.0,467.0,-16.833333333333332,-4.0,17.302055112359085,-7.377308927286397
114.0,0,449.0,513.0,16.5,7.666666666666667,18.194168785019496,0.1486856121100685
120.0,0,94.0,542.0,-59.166666666666664,4.833333333333333,59.36375624533505,6.861597910052592
132.0,0,512.0,687.0,34.833333333333336,12.083333333333334,36.86960883377468,-1.8745122842966975
150.0,0,585.0,692.0,4.055555555555555,0.2777777777777778,4.065057362205937,-1.8224750817538191
168.0,0,590.0,697.0,0.2777777777777778,0.2777777777777778,0.3928371006591931,-0.20401223675259691
192.0,0,53.0,585.0,-22.375,-4.666666666666667,22.856473979548504,0.9359848699537213
210.0,0,46.0,570.0,-0.3888888888888889,-0.8333333333333334,0.9196080754026027,-1.2187147724525498
234.0,0,1244.0,573.0,49.916666666666664,0.125,49.91682317727272,2.0415506292445884
252.0,0,1256.0,628.0,0.6666666666666666,3.0555555555555554,3.12743732111946,-2.5994103253418483
270.0,0,1246.0,585.0,-0.5555555555555556,-2.388888888888889,2.452637783849346,-0.03748886318167299
294.0,0,43.0,645.0,-50.125,2.5,50.18730541680834,1.9889444847066249
312.0,0,1197.0,594.0,64.11111111111111,-2.8333333333333335,64.17368888944294,0.7770213040352559
342.0,0,37.0,655.0,-38.666666666666664,2.033333333333333,38.72009240117533,-0.8484532162755871
360.0,0,1213.0,598.0,65.33333333333333,-3.1666666666666665,65.41003151063467,1.4827743949699632
384.0,0,1258.0,666.0,1.875,2.8333333333333335,3.397558355316032,-2.5838530481382773
402.0,0,1061.0,352.0,-10.944444444444445,-17.444444444444443,20.593433569291925,0.9553264007764385
432.0,0,1088.0,353.0,0.9,0.03333333333333333,0.9006170724070864,-0.6564272165628278
462.0,0,1102.0,354.0,0.4666666666666667,0.03333333333333333,0.46785562825394,-0.014425381471771548
486.0,0,1037.0,634.0,-2.7083333333333335,11.666666666666666,11.976901959837342,0.47954359714930844
498.0,0,822.0,635.0,-17.916666666666668,0.08333333333333333,17.91686046406817,0.49499654201923554
516.0,0,836.0,638.0,0.7777777777777778,0.16666666666666666,0.7954345035153529,-0.9511903311418229
528.0,0,1202.0,638.0,30.5,0.0,30.5,2.4753804580403873
546.0,0,840.0,639.0,-20.11111111111111,0.05555555555555555,20.111187845157477,-0.5771562308245846
564.0,0,670.0,638.0,-9.444444444444445,-0.05555555555555555,9.444607841723796,-0.5925877779685379
582.0,0,461.0,640.0,-11.61111111111111,0.1111111111111111,11.611642731051463,0.12039082718487037
588.0,0,1153.0,645.0,115.33333333333333,0.8333333333333334,115.33634389134339,17.28745019338199
612.0,0,692.0,632.0,-19.208333333333332,-0.5416666666666666,19.21596919809725,-4.005015612218589
624.0,0,1178.0,651.0,40.5,1.5833333333333333,40.5309381145372,1.7762474097033294
642.0,0,429.0,316.0,-41.611111111111114,-18.61111111111111,45.58352799741765,0.2806994379378026
648.0,0,791.0,316.0,60.333333333333336,0.0,60.333333333333336,2.4583008893192826
660.0,0,200.0,654.0,-49.25,28.166666666666668,56.735558612840954,-0.2998145600410318
666.0,0,1200.0,655.0,166.66666666666666,0.16666666666666666,166.66674999997915,18.3218652311897
678.0,0,805.0,315.0,-32.916666666666664,-28.333333333333332,43.43137946487795,-10.269614211258435
690.0,0,892.0,652.0,7.25,28.083333333333332,29.004070595540743,-1.2022757391114338
702.0,0,838.0,315.0,-4.5,-28.083333333333332,28.441582429800054,-0.04687401381172407
714.0,0,435.0,321.0,-33.583333333333336,0.5,33.58705521146172,0.42878939847180525
720.0,0,1189.0,621.0,125.66666666666667,50.0,135.24833126922903,16.943546009627884
726.0,0,1222.0,653.0,5.5,5.333333333333333,7.661229956374136,-21.26451688547581
738.0,0,814.0,658.0,-34.0,0.4166666666666667,34.00255300872438,2.19511025436252
750.0,0,33.0,586.0,-65.08333333333333,-6.0,65.35931668689459,2.6130636398475175
756.0,0,1225.0,646.0,32.666666666666664,72.16666666666667,79.21577424281662,-inf
768.0,0,198.0,287.0,-85.58333333333333,-29.916666666666668,90.66153478123393,0.953813378201442
774.0,0,717.0,422.0,86.5,22.5,89.37840902589394,-0.21385429255666347
786.0,0,106.0,281.0,-50.916666666666664,-11.75,52.254850917828136,-3.093629842338816
792.0,0,575.0,336.0,78.16666666666667,9.166666666666666,78.70232242796622,4.407911918356347
798.0,0,840.0,477.0,44.166666666666664,23.5,50.029435779793126,-4.778814441362183
810.0,0,112.0,282.0,-60.666666666666664,-16.25,62.80530984275489,1.0646561719134802
816.0,0,814.0,425.0,117.0,23.833333333333332,119.40279635660875,9.432914418975642
