zone,x_norm_mean,x_norm_std,x_norm_count,y_norm_mean,y_norm_std,y_norm_count
0,36.52776516918143,4.665061547383376,14146,22.712232642552397,4.222338893053106,14146
1,9.256452223150664,4.451056981231787,11893,15.261863941005865,4.519432484531828,11893
2,21.27521611753511,3.8056453846807177,16142,22.998666739628575,3.8540265250737935,16142
3,27.953744200732213,4.008899877901684,11007,14.43207222421208,3.669141341800811,11007
4,42.73817335836677,3.7792817892742288,10492,12.277729692018903,4.8777695287985745,10492
5,7.822286581373155,4.0008327570368865,7315,27.45382286395958,4.681450516476314,7315
