frame,shot_distance_ft,defender_distance_ft,make,xFG
2817,20.762735295988964,18.35459618207464,0,0.17075533585588493
2841,20.144044171617864,23.74771222235163,0,0.3696711891754571
2861,16.135595831977625,11.817713722011993,1,0.997679279230003
2882,25.74916291504032,14.888594382592629,0,5.227640845723722e-05
3020,24.083604105290945,13.196997425574814,0,0.0008204110969921175
3040,17.43798902022366,14.23128420656829,1,0.9804360339293637
3109,24.52367140480804,7.652309361870914,0,0.00038724507068056967
3158,21.238773372218294,34.071956909525305,0,0.0904944023760266
3204,28.073885326435207,6.9679662355462275,0,1.0749396654328053e-06
3224,23.110087695861264,4.195339026440134,0,0.003963655474322432
3244,25.729107233776265,9.45197874835017,0,5.290210705108329e-05
3264,17.935331088363252,12.298575223726958,1,0.9561598060504976
3284,18.455522108110454,13.449970999445455,1,0.9024436191339889
3305,17.46706044249563,12.836054055392724,1,0.9793797211859772
3325,27.92129514441468,15.766693718810762,0,1.4329369350601767e-06
3345,14.495735410282043,6.996205317991828,1,0.9998435628695245
3365,10.001451435997739,7.180693273502323,1,0.9999999090282375
3386,24.34332977007235,3.938161695007424,0,0.0005145361714061611
3406,24.240479220488382,25.036630498264255,0,0.0006627671817118163
3427,17.43973449898193,7.753666198890749,1,0.9798852914564818
3447,20.378670809334164,12.44357878355591,0,0.2754985480290215
3467,14.533278448796628,4.734149278553938,1,0.9998320357645544
3487,21.189324983595853,7.830900523615594,0,0.08877597167300111
3507,23.20093307947516,15.71989331924503,0,0.0035688058603159135
3527,23.30497924523201,15.382294741292405,0,0.0030012180146641748
3547,22.75221154468814,15.798638051254246,0,0.00748098068857381
3567,26.163663931969054,13.321223123774303,0,2.613775875556899e-05
3587,15.214193849548366,5.539749203913506,1,0.9994825781096891
3607,21.10621233961535,6.057623384965984,0,0.09994147728189734
3627,22.044675702338996,7.628290550515221,0,0.023039970433648263
3647,24.488953503064288,6.364306588560565,0,0.00040810533990715545
3667,26.263958709044992,15.016560556759718,0,2.22825001997903e-05
3687,20.212475970217326,16.66302663049688,0,0.33740776280911844
3707,23.088303264222205,9.675274648750252,0,0.004197769167232073
3727,23.09868021612913,6.829178072490542,0,0.004080817213815863
3747,22.23766582724974,4.069757933782067,0,0.01660891028454463
3767,27.23606647325339,8.611186770093433,0,4.337943127092783e-06
3787,20.776624673822404,8.121414376356691,0,0.16199210490069246
3807,20.979627498379447,8.460293012474231,0,0.12146522894049105
3827,23.24030142390816,9.33633625691397,0,0.0032616223417331297
3847,26.468906752650668,8.701381282557827,0,1.5476354617585888e-05
3867,19.225977886065802,10.12404389149692,1,0.7180045709539445
3887,19.32612425038324,10.1889104195827,1,0.6832713727391894
3907,27.74953642165785,9.851982762636744,0,1.861152100623149e-06
3927,17.474895880680716,22.36664690782986,1,0.9798673352837027
3947,20.879094684451346,3.8034478372485485,0,0.13820535281099666
3967,23.400983536999817,7.260222400778571,0,0.0024806634811488444
3987,25.375133980222525,9.48295844200921,0,9.51290648655339e-05
4007,28.870491406269316,8.134390529141875,0,2.883636501577217e-07
4027,23.467019657236314,9.058117481833403,0,0.0022397647028920362
4047,23.32903729094212,7.557376610355106,0,0.0027972210391604773
4067,17.109463606038787,14.191050185425155,1,0.9885548960165579
4087,21.66900490723915,12.220319522456334,0,0.042839460688801796
4107,23.081561415461636,12.366068956164526,0,0.004289625738687394
4127,20.4564120643551,3.8483047410765256,0,0.24425297037266122
4147,22.970427728637155,5.242833232858979,0,0.005011391103797368
4167,23.07178669957115,17.904464543816395,0,0.004454783994702407
4187,15.45229382032008,7.080876710527928,1,0.9992370335133445
4228,23.493312543274946,6.184110785862827,0,0.0021204465366700584
4248,23.048725178702092,15.048006346094898,0,0.004576190688330426
4268,23.813661173099298,13.517011142285831,0,0.001284376753252642
4288,23.66198265845239,9.653138715878299,0,0.001626076088399589
4308,15.243493303664291,12.485764389908276,1,0.9994714476566641
4328,20.802694110294677,7.771232251540168,0,0.15603049407439504
4348,21.502768248459663,11.80190074300679,0,0.05558689155653287
4368,18.7441886639603,11.340501060955877,1,0.8504237201648047
4388,23.589292163503284,6.94147912505993,0,0.0018145182839522228
4408,14.999854085796294,13.406073549540945,1,0.9996482668604373
4428,22.506656020399692,7.916334983666634,0,0.010859260146600623
4452,14.583674669227694,16.510122365493825,1,0.9998256534486094
4472,21.901888764126053,30.69852485057053,0,0.03167704936082062
4517,21.737982768565768,18.75582258169264,0,0.039347336624950664
4544,16.83802922510006,19.259256462768917,1,0.992814530759152
4564,16.204968514160043,5.234088340820612,1,0.997329250284525
4584,16.56390529994519,6.930113807660527,1,0.9952005414047224
4604,26.87398397040229,9.8509149428663,0,7.943999581883337e-06
4624,18.041997638665023,9.912526780113682,1,0.9476585836415375
4644,20.64314317075678,20.7026553697132,0,0.20216126132873014
4664,24.077118050948563,22.133970266494376,0,0.0008588580357671681
4684,25.03602793773806,18.915290136698186,0,0.00017316703993086556
4704,14.36059781985654,5.881701537688589,1,0.9998744041194677
4724,14.711167017600141,8.31693837885686,1,0.99977759905341
4744,17.805867403682456,9.574755201260968,1,0.9639546718878977
4764,19.60654803440075,12.459006934042426,1,0.5776065088655276
4784,20.521849565789356,6.366469264532686,0,0.22651781874935367
4804,15.147344165433799,14.615610124120973,1,0.9995530287440959
4827,16.718984146621725,10.377510212997251,1,0.9938853334953789
4847,20.635237075592975,5.502384156816328,0,0.19475384644215363
4867,18.85088701924724,6.67478776513806,1,0.8238653069233521
4887,20.85515412405379,6.290588424105693,0,0.14420061827757336
4907,24.21668030311238,13.555660960932665,0,0.0006590509372772137
4927,25.23278320067343,18.46743473915773,0,0.0001247640382822696
4947,13.986159848952044,7.612963891441499,1,0.9999329325486804
4967,14.132350040498881,9.530460413070093,1,0.999915185719188
5008,20.11359341699281,13.856748874039566,0,0.3723878081952971
5028,24.366668274264626,9.499347042989811,0,0.0005059427945168872
5048,26.134847425415703,11.09475839191389,0,2.717785403068278e-05
5068,17.010579989113975,10.095823479140645,1,0.9901120819288576
5088,14.621640745633732,13.527593854128032,1,0.9998121451506927
5108,20.140838926958633,19.913409290718313,0,0.367404410001318
