possession_id,start_frame,end_frame,duration_frames,avg_spread,duration_sec
0,2755,2755,0,322.09002265447396,0.0
1,2811,2815,4,565.5815653739327,0.13333333333333333
2,2816,2816,0,217.06846641747006,0.0
3,2817,2818,1,353.84816369219595,0.03333333333333333
4,2819,2819,0,61.71440190285174,0.0
5,2820,2820,0,295.28710901534794,0.0
6,2828,2829,1,144.67697586640287,0.03333333333333333
7,2839,2839,0,325.69448746653734,0.0
8,2841,2841,0,455.9560746691513,0.0
9,2842,2843,1,59.32866966042136,0.03333333333333333
10,2844,2844,0,254.26728923404153,0.0
11,2845,2846,1,53.840106711905264,0.03333333333333333
12,2854,2854,0,181.09752815222873,0.0
13,2856,2857,1,346.0736510232646,0.03333333333333333
14,2858,2858,0,76.0117762454245,0.0
15,2859,2859,0,239.13420736548423,0.0
16,2860,2860,0,458.0668005126884,0.0
17,2861,2873,12,246.8626849921412,0.4
18,2874,2875,1,100.09816927712706,0.03333333333333333
19,2876,2879,3,264.04359079752044,0.1
20,2880,2880,0,83.50060304540706,0.0
21,2881,2882,1,285.34521098001915,0.03333333333333333
22,2889,2889,0,523.8954603266615,0.0
23,2910,2910,0,413.8891927687458,0.0
24,2919,2919,0,171.16443172175474,0.0
25,2923,2923,0,342.95150803296934,0.0
26,2924,2925,1,180.00255396203713,0.03333333333333333
27,2926,2928,2,402.1591934898083,0.06666666666666667
28,2934,2939,5,166.34940867123117,0.16666666666666666
29,2967,2971,4,414.0362834155599,0.13333333333333333
30,2975,2975,0,629.8371239624983,0.0
31,2991,2991,0,337.70106712839276,0.0
32,2996,2997,1,89.90603361061528,0.03333333333333333
33,3008,3054,46,288.3530737499286,1.5333333333333334
34,3056,3058,2,317.5970576794582,0.06666666666666667
35,3059,3059,0,505.62418867178394,0.0
36,3072,3072,0,181.13012019713082,0.0
37,3073,3074,1,335.4610664842812,0.03333333333333333
38,3076,3080,4,204.7088611030693,0.13333333333333333
39,3081,3083,2,269.9642334821813,0.06666666666666667
40,3087,3088,1,432.42567887737556,0.03333333333333333
41,3091,3091,0,346.3892230304723,0.0
42,3092,3092,0,452.8714600999274,0.0
43,3094,3095,1,304.0729392604985,0.03333333333333333
44,3097,3097,0,99.96309619915091,0.0
45,3098,3099,1,257.9878992488471,0.03333333333333333
46,3100,3106,6,326.59376268253374,0.2
47,3107,3109,2,410.26474493986615,0.06666666666666667
48,3110,3110,0,568.3340161398962,0.0
49,3111,3115,4,443.56261305273966,0.13333333333333333
50,3117,3117,0,134.84977204914276,0.0
51,3121,3122,1,269.51801319480376,0.03333333333333333
52,3123,3123,0,440.22882649572125,0.0
53,3127,3129,2,104.43039473839337,0.06666666666666667
54,3130,3130,0,274.8465012410695,0.0
55,3131,3139,8,279.35910094492044,0.26666666666666666
56,3140,3144,4,116.9232604015735,0.13333333333333333
57,3145,3145,0,505.27694450571266,0.0
58,3158,3164,6,596.4114093105555,0.2
59,3165,3165,0,336.70456735588937,0.0
60,3172,3172,0,687.4815480651674,0.0
61,3173,3173,0,563.4826205847779,0.0
62,3178,3183,5,225.05351918676982,0.16666666666666666
63,3186,3187,1,411.8509228046524,0.03333333333333333
64,3188,3190,2,505.0975307172198,0.06666666666666667
65,3191,3199,8,490.4084749063591,0.26666666666666666
66,3200,3204,4,477.6540265579969,0.13333333333333333
67,3205,3205,0,227.27204313757778,0.0
68,3206,3207,1,417.66592559332264,0.03333333333333333
69,3208,3209,1,592.8230488982724,0.03333333333333333
70,3210,3216,6,428.8390404338882,0.2
71,3217,3230,13,301.28455447024174,0.43333333333333335
72,3231,3233,2,489.961475091339,0.06666666666666667
73,3234,3238,4,423.2141293189319,0.13333333333333333
74,3239,3239,0,656.0761552145163,0.0
75,3240,3240,0,202.29364008139817,0.0
76,3241,3242,1,365.20332811151263,0.03333333333333333
77,3243,3244,1,248.0803638106065,0.03333333333333333
78,3245,3246,1,473.05599244012075,0.03333333333333333
79,3247,3248,1,281.44733634062237,0.03333333333333333
80,3249,3249,0,433.2633817445248,0.0
81,3250,3252,2,316.5588524251512,0.06666666666666667
82,3253,3254,1,614.9904929341637,0.03333333333333333
83,3255,3257,2,307.3397045659755,0.06666666666666667
84,3258,3258,0,208.2056887350628,0.0
85,3259,3259,0,482.77212140685583,0.0
86,3260,3261,1,369.77660229451203,0.03333333333333333
87,3263,3266,3,245.8038268935298,0.1
88,3267,3270,3,263.77064819308873,0.1
89,3271,3271,0,403.0714819956146,0.0
90,3272,3285,13,254.65367224227822,0.43333333333333335
91,3286,3290,4,427.0795324071606,0.13333333333333333
92,3291,3291,0,512.5698845435633,0.0
93,3293,3294,1,587.2772173454553,0.03333333333333333
94,3297,3304,7,275.54140298859903,0.23333333333333334
95,3305,3307,2,241.5089956077958,0.06666666666666667
96,3308,3313,5,350.7792606781746,0.16666666666666666
97,3314,3314,0,446.25166910718684,0.0
98,3315,3328,13,283.47389005876863,0.43333333333333335
99,3329,3329,0,64.29350602499001,0.0
100,3330,3330,0,199.99398123213874,0.0
101,3331,3332,1,380.78721053287325,0.03333333333333333
102,3333,3333,0,266.3883737444829,0.0
103,3334,3334,0,412.172765326876,0.0
104,3335,3338,3,293.39898977767905,0.1
105,3339,3340,1,252.4800194459328,0.03333333333333333
106,3341,3341,0,359.3559389135781,0.0
107,3342,3345,3,140.7664280787932,0.1
108,3346,3347,1,214.2453837781444,0.03333333333333333
109,3348,3349,1,309.3086923338283,0.03333333333333333
110,3350,3350,0,208.1165919038714,0.0
111,3351,3355,4,386.6933449285872,0.13333333333333333
